package_name,version,application_type,Category
R6400 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.0.20,firmware,Office Productivity
R6400 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.0.14,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit,1.0.4.102,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.4.98,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.4.84,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.4.82,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.4.78,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.3.66,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit, 1.0.2.66,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.2.62,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.2.60,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.2.56,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.2.52,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.2.50,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.2.46,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.2.44,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.2.34,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.2.32,firmware,Office Productivity
R6400v2 - AC1750 Smart WiFi Router 802.11ac Dual Band Gigabit ,1.0.2.14,firmware,Office Productivity
